ID,Nombre,Edad,Género,Ciudad,Comentario,Categoría del problema,Nivel de urgencia,Fecha del reporte,Acceso a internet,Atención previa del gobierno,Zona rural,Prioridad
1,Jorge,23.0,Otro,Manizales,las calles están muy oscuras y peligrosas.,Salud,Urgente,2023-08-11,0,1,0,100
2,Camilo,40.0,Otro,Santa Marta,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2023-04-12,1,1,1,70
3,Pedro,35.0,Otro,Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2023-06-09,1,1,0,50
4,Ana,,F,Bogotá,la contaminación del río está aumentando.,Seguridad,No urgente,2023-06-04,0,1,1,93
5,Jorge,62.0,M,Manizales,no hay suficientes escuelas públicas.,Seguridad,Urgente,2024-07-10,1,0,1,100
6,María,29.0,M,Cartagena,hay problemas con la recolección de basura.,Seguridad,No urgente,2023-09-18,0,1,0,73
7,Ana,,M,Medellín,la contaminación del río está aumentando.,Salud,No urgente,2023-07-20,0,1,0,75
8,Jorge,38.0,F,Bogotá,no hay suficientes escuelas públicas.,Educación,Urgente,2023-04-23,0,1,0,100
9,Carlos,57.0,M,Medellín,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2023-09-01,1,1,1,70
10,María,76.0,F,Cali,faltan médicos en el centro de salud.,Salud,No urgente,2024-09-21,0,1,1,95
11,Pedro,46.0,Otro,Bogotá,falta agua potable en varias casas.,Educación,Urgente,2024-04-02,0,1,0,100
12,Ana,67.0,M,Manizales,la contaminación del río está aumentando.,Seguridad,Urgente,2023-03-14,1,1,1,100
13,Laura,46.0,Otro,Medellín,falta agua potable en varias casas.,Salud,Urgente,2023-11-08,1,0,0,90
14,Sofía,72.0,F,Bogotá,no hay suficientes escuelas públicas.,Educación,No urgente,2023-08-19,1,0,0,55
15,Laura,67.0,F,Manizales,falta agua potable en varias casas.,Educación,Urgente,2024-08-16,1,1,1,100
16,Camilo,77.0,Otro,Manizales,faltan médicos en el centro de salud.,Salud,Urgente,2023-09-01,0,1,1,100
17,Valentina,22.0,F,Santa Marta,necesitamos más acceso a internet en la zona.,Salud,No urgente,2024-03-15,1,1,1,80
18,Juan,71.0,Otro,Barranquilla,la contaminación del río está aumentando.,Salud,No urgente,2023-12-21,0,1,0,75
19,Sofía,,F,Manizales,,Educación,Urgente,2023-11-02,1,0,1,100
20,Juan,52.0,M,Medellín,queremos más presencia policial.,Salud,Urgente,2024-06-18,0,0,1,100
21,Jorge,59.0,M,Cali,faltan médicos en el centro de salud.,Salud,Urgente,2024-07-21,0,0,1,100
22,Laura,65.0,M,Barranquilla,queremos más presencia policial.,Medio Ambiente,Urgente,2024-04-13,0,1,0,95
23,Jorge,51.0,Otro,Pereira,falta agua potable en varias casas.,Medio Ambiente,Urgente,2024-09-20,0,1,0,95
24,Laura,64.0,F,Barranquilla,las basuras no se recogen a tiempo.,Seguridad,No urgente,2024-05-20,0,1,0,73
25,Carlos,28.0,F,Manizales,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2023-04-22,1,1,1,75
26,Sofía,69.0,F,Cúcuta,necesitamos más acceso a internet en la zona.,Seguridad,Urgente,2024-01-11,0,1,1,100
27,Ana,24.0,F,Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-04-11,0,1,0,65
28,Sofía,63.0,Otro,Pereira,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2024-08-03,0,1,1,85
29,Carlos,46.0,F,Cali,hay problemas con la recolección de basura.,Educación,Urgente,2024-06-29,1,1,1,100
30,Pedro,34.0,F,Cúcuta,falta agua potable en varias casas.,Seguridad,Urgente,2023-10-17,0,0,0,100
31,Ana,47.0,M,Medellín,queremos más presencia policial.,Salud,Urgente,2024-11-24,1,0,1,100
32,María,80.0,M,Barranquilla,falta agua potable en varias casas.,Medio Ambiente,Urgente,2023-02-06,0,1,1,100
33,Pedro,77.0,Otro,Santa Marta,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2024-11-23,1,1,1,100
34,María,78.0,M,Barranquilla,las basuras no se recogen a tiempo.,Seguridad,Urgente,2024-09-06,1,0,1,100
35,Pedro,54.0,F,Santa Marta,necesitamos más acceso a internet en la zona.,Seguridad,Urgente,2023-03-04,1,0,1,100
36,Pedro,53.0,Otro,Bogotá,las basuras no se recogen a tiempo.,Educación,No urgente,2023-09-12,1,1,0,55
37,Carlos,18.0,M,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-09-23,0,0,0,65
38,Juan,61.0,Otro,Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,2024-05-04,0,0,1,100
39,Sofía,33.0,F,Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-10-20,0,1,0,65
40,Valentina,18.0,M,Manizales,falta agua potable en varias casas.,Educación,No urgente,2023-08-10,0,0,0,70
41,Valentina,,F,Santa Marta,queremos más presencia policial.,Medio Ambiente,Urgente,2024-06-16,0,1,1,100
42,Ana,19.0,Otro,Cúcuta,las calles están muy oscuras y peligrosas.,Salud,No urgente,2024-08-26,0,0,1,95
43,María,50.0,Otro,Cali,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-09-13,1,0,0,50
44,Laura,60.0,,Medellín,las basuras no se recogen a tiempo.,Educación,No urgente,2023-03-22,0,0,1,90
45,Carlos,29.0,F,Pereira,queremos más presencia policial.,Educación,No urgente,2023-10-31,0,0,0,70
46,Jorge,59.0,Otro,Bucaramanga,hay problemas con la recolección de basura.,Educación,No urgente,2023-07-28,1,0,0,55
47,Camilo,19.0,M,Bogotá,queremos más presencia policial.,Medio Ambiente,No urgente,2023-08-27,0,0,0,65
48,Pedro,48.0,Otro,Manizales,faltan médicos en el centro de salud.,Salud,No urgente,2024-07-13,1,1,1,80
49,Laura,32.0,M,Cúcuta,las basuras no se recogen a tiempo.,Salud,Urgente,2024-04-26,0,0,0,100
50,Juan,48.0,Otro,Medellín,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2024-08-02,1,1,1,78
51,Ana,66.0,M,Bogotá,las calles están muy oscuras y peligrosas.,Salud,No urgente,2023-02-22,1,1,1,80
52,Jorge,24.0,Otro,Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,2023-02-09,0,1,1,93
53,Pedro,53.0,M,Cartagena,la contaminación del río está aumentando.,Seguridad,Urgente,2024-10-07,1,1,0,88
54,María,59.0,Otro,Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2023-04-22,0,1,0,70
55,Sofía,42.0,F,Bogotá,necesitamos más acceso a internet en la zona.,Salud,Urgente,2024-08-12,1,0,0,90
56,Camilo,58.0,M,Cúcuta,queremos más presencia policial.,Medio Ambiente,Urgente,2024-06-12,1,1,0,80
57,Jorge,53.0,F,Pereira,necesitamos más acceso a internet en la zona.,Salud,Urgente,2023-12-03,1,1,0,90
58,Valentina,31.0,M,Bucaramanga,no hay suficientes escuelas públicas.,Seguridad,Urgente,2023-10-24,1,1,0,88
59,Valentina,24.0,F,Bogotá,faltan médicos en el centro de salud.,Seguridad,No urgente,2024-11-13,1,1,0,58
60,Sofía,31.0,Otro,Cúcuta,queremos más presencia policial.,Medio Ambiente,Urgente,2023-04-22,1,1,1,100
61,Pedro,42.0,Otro,Medellín,necesitamos más acceso a internet en la zona.,Salud,No urgente,2023-10-24,0,1,0,75
62,Valentina,23.0,M,Cartagena,las basuras no se recogen a tiempo.,Salud,No urgente,2024-08-28,1,0,0,60
63,Laura,23.0,,Pereira,queremos más presencia policial.,Seguridad,Urgente,2023-05-23,1,0,1,100
64,Jorge,70.0,M,Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2023-04-22,0,1,0,65
65,Ana,30.0,M,Bogotá,queremos más presencia policial.,Seguridad,No urgente,2024-11-15,0,0,1,93
66,Sofía,38.0,Otro,Manizales,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,2023-06-19,1,1,0,58
67,Sofía,69.0,M,Manizales,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2024-04-03,0,0,1,93
68,Valentina,,M,Medellín,no hay suficientes escuelas públicas.,Educación,Urgente,2023-07-26,1,1,0,85
69,Camilo,27.0,F,Cali,las basuras no se recogen a tiempo.,Seguridad,Urgente,2023-01-03,0,0,1,100
70,María,66.0,M,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,2023-02-22,1,0,1,100
